Title C de,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity
APTEL13506,SHAMBU TIMES,,126782.0,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F
APTEL12574,PENNA TIMES,,119501.0,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M
APTEL15887,VAMSI TIMES,,,,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M
APTEL16462,PAVITRA TIMES,,,,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M
APTEL12035,NANDU TIMES,,117380.0,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M
APTEL12410,THE TIMES OF ADITHYA,,114958.0,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M
APTEL15107,KHADRI TIMES,,143230.0,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M
APTEL14637,NEW MAMATHA TIMES,न्यू ममता टाइम्स,137437.0,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M
APTEL14921,TADIPATRI TIMES,,142695.0,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M
APTEL14259,SHALINI TIMES,शालिनी टाइम्स,133866.0,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M
APTEL15674,PAMIDI TIMES,,149407.0,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M
APTEL14100,HARIKA TIMES,हरिका टाइम्स,139032.0,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M
APTEL14563,KEERTHI TIMES,कीर्ति टाइम्स,136274.0,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M
APTEL15448,HAPPY INDIA TIMES,,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W
APBEN00010,PYRAMID TIMES,,69623.0,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM
APTEL10796,TIRUPATI HAPPY TIMES,तिरुपति हैप्पी टाइम्स,100340.0,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F
APTEL10268,ESWAR TIMES,,98822.0,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M
APTEL14368,REGISTRATION TIMES,रजिस्ट्रेशन टाइम्स,136230.0,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M
APBIL14868,TIMES OF TIRUPATI,,,,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M
APENG03116,ENVIRONMENT AND POLLUTION TIMES,,111412.0,APENG/2010/38855,N. PURUSHOTHAM,AP,CHITTOR,M
APENG03117,TOURISM TIMES,,111413.0,APENG/2010/38856,N. PURUSHOTHAM,AP,CHITTOR,M
APENG03118,JOURNALIST TIMES,,112925.0,APENG/2010/40368,N. PURUSHOTHAM,AP,CHITTOR,M
APTEL15545,RAJAMAHENDRAVARAM TIMES,,148643.0,APTEL/2018/76088,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI,D
APTEL16287,SAMAKALEENA ANDHRA TIMES,,160505.0,APTEL/2023/87950,NALLURI POSAGIRIBABU,AP,EAST GODAVARI,D
APBIL01702,KAKINADA TIMES,काकीनाडा टाइम्स,106303.0,APBIL/2009/33746,NALLURI SRINIVASA RAO,AP,EAST GODAVARI,D
APTEL13482,GODAVARI TIMES,,129840.0,APTEL/2014/57285,ANANTHA RAO GOTTIMUKKALA,AP,EAST GODAVARI,D
APTEL14662,DIKHSUTCHI TIMES,,136148.0,APTEL/2014/63593,PARVADA ANJANEYULU,AP,EAST GODAVARI,D
APTEL15599,COASTA TIMES,,148358.0,APTEL/2018/75803,CHOPPALA DEEPIKA,AP,EAST GODAVARI,DE
APENG03534,TIMES IN THE CITY,,143460.0,APENG/2016/70905,VALLI BASHA MOHAMMAD,AP,EAST GODAVARI,W
APTEL16183,NAMBURI TIMES,,157745.0,APTEL/2023/85190,NAMBURI CHINA SAIDAIAH,AP,GUNTUR,D
APTEL09568,GUNTUR TIMES,गुंटुर टाइम्स,98358.0,APTEL/2008/25801,NELAVALLI SRINIVAS RAO,AP,GUNTUR,D
APTEL10863,PONNUR TIMES,पोन्नूर टाइम्स,100749.0,APTEL/2009/28192,GOLLAMUDI RAMESH BABAU,AP,GUNTUR,D
APTEL15316,BAPATLA TIMES,,,UR,EAGAM VISHNU SAI PRASADA RAO,AP,GUNTUR,D
APTEL14184,NANDI TIMES,,129521.0,APTEL/2013/56966,G.S. SUNDARA SARMA,AP,GUNTUR,D
APBIL01928,SUJANA TIMES,,139004.0,APBIL/2015/66449,KATTA. SRINIVASULU,AP,GUNTUR,D
APTEL11255,SWARNAPURI TIMES,स्वर्णपुरी टाइम्स,105430.0,APTEL/2010/32873,SUNDAR SINGH BODDU,AP,GUNTUR,D
APBIL01781,COMMERCE TIMES,,117248.0,APBIL/2012/44691,SRI KRISHNA NALAM,AP,GUNTUR,F
APTEL03436,LAW TIMES,लॉ टाइम्स,3262.0,3262/ 57,GARIKIPATY VEERAIAH,AP,GUNTUR,F
APTEL14495,WEAVERS TIMES,,137794.0,APTEL/2015/65239,P.ARJUN,AP,GUNTUR,F
APTEL08135,THE TENALI TIMES,,83572.0,APTEL/2003/11015,LUKKA VENKATESWARA RAO,AP,GUNTUR,W
APENG03264,VIJAYAWADA TIMES,,126979.0,APENG/2013/54424,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
APENG03372,GREEN TIMES,,119371.0,APENG/2012/46814,MOHAMMED MEHDI ALI,AP,HYDERABAD,D
APENG03399,ARYAVART TIMES,,123973.0,APENG/2013/51418,RACHARLA ARJUN KUMAR,AP,HYDERABAD,D
APENG02277,THE TIMES OF INDIA,द टाइम्स ऑफ इण्डिया,75685.0,TELENG/2000/03128,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D
APTEL09706,TIMES OF VAARTHA,टाईम्‍स आफ वार्ता,95385.0,UR,G. JANARDHAN REDDHY,AP,HYDERABAD,D
APURD01795,RIYAZ TIMES,,99307.0,APURD/2008/26750,MOHD. RIYAZ ALI,AP,HYDERABAD,D
APHIN00329,DESH BHAKT TIMES,,120498.0,APHIN/2013/47942,K. SATYANARAYANA,AP,HYDERABAD,D
APTEL11039,STATE TIMES,स्टेट टाइम्स,100243.0,APTEL/2008/27686,MULAKALA VISWA GINGA,AP,HYDERABAD,D
APURD01843,CHARMINAR TIMES,,109819.0,APURD/2010/37262,MD. SHUJA UDDIN IFTEQARI,AP,HYDERABAD,D
APTEL10319,BHUPATHI TIMES,भूपति टाईम्स,95217.0,APTEL/2007/22660,BHUPATHI RAJU,AP,HYDERABAD,D
APENG02971,PRAGATHI TIMES,प्रगति टाईम्स,97654.0,TELENG/2008/25097,AFROZ QURESHI,AP,HYDERABAD,D
APURD01882,NASER TIMES,,112595.0,APURD/2011/40038,JAHANGIR SULTANA,AP,HYDERABAD,D
APURD01953,ADAM TIMES,,120744.0,APURD/2012/48188,MOHD. AKBAR,AP,HYDERABAD,D
APENG03347,RIDA TIMES,,116800.0,UR,MOHAMMED KHAIRATH ALI,AP,HYDERABAD,D
APENG03431,SHALIMAR TIMES,,123919.0,APENG/2013/51364,SYED MUMTAZ MOHAMMED,AP,HYDERABAD,D
APENG03374,SANSANI TIMES,,119401.0,APENG/2012/46844,MOHD NAJMUDDIN,AP,HYDERABAD,D
APTEL11441,LOK SATTA TIMES,लोक सत्ता टाइम्स,104776.0,APTEL/2010/32219,FOUNDATION FOR DEMOCRATIC REFORMS,AP,HYDERABAD,F
APURD01814,MEHAR TIMES,मेहर टाइम्स,104031.0,APURD/2009/31474,MOHD. AFFAN QUADRI,AP,HYDERABAD,M
APTEL13194,SRIVEN TIMES,,121269.0,APTEL/2013/48714,DEVULAPALLI PADMAJA,AP,HYDERABAD,M
APBIL01811,YERUKALA TIMES,,124398.0,APBIL/2013/51843,V. PRABHAKAR,AP,HYDERABAD,M
APENG02588,PARAMEDICAL & NURSING TIMES,,86955.0,APENG/2004/14398,DR.MOHD SAMLULLAH KHAN,AP,HYDERABAD,M
APENG02796,TARNAKA TIMES,तरनका टाईम्स,99026.0,APENG/2007/26469,DR. RAO V.B.J. CHELIKANI,AP,HYDERABAD,M
APMUL00356,DRAVIDIAN TIMES,,99125.0,APMUL/2008/26568,C.H. DAYANAND RAO,AP,HYDERABAD,M
APBIL01704,TRANSPORT TIMES,,111414.0,APBIL/2009/38857,N. PURUSHOTHAM GOUD,AP,HYDERABAD,M
APENG01937,ANDHRA LAW TIMES (LEGISLATIVE SUPPLEMENT),,69920.0,69920/ 99,L.D.GOGIA,AP,HYDERABAD,M
APENG02887,TIMES OF DISASTER MANAGEMENT,टाइम्स ऑफ़ डिजास्टर मैनेजमेंट,101145.0,APENG/2009/28588,S. ANANDA BABU,AP,HYDERABAD,Q
APENG03222,ETERNAL LIFE TIMES,,110616.0,APENG/2011/38059,K. NEWTON,AP,HYDERABAD,Q
APENG02838,PRAGATHI TIMES,प्रगति‍ टाईम्‍स,94364.0,TELENG/2007/21807,AFROZ QURESHI,AP,HYDERABAD,W
APENG03501,ADEEB TIMES,,128931.0,TELENG/2014/56376,MOHAMMED ATHER,AP,HYDERABAD,W
APENG03477,THE ECONOMIC TIMES WEALTH,,129996.0,TELENG/2014/57441,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
APENG02819,INDIA GULF TIMES,इण्‍डि‍या गल्‍फ टाईम्‍स,98699.0,APENG/2008/26142,ZEENATH SAJIDA,AP,HYDERABAD,W
APURD01910,SHADAN TIMES,,117929.0,APURD/2012/45372,MOHAMMED KALEEM MOHIUDDIN,AP,HYDERABAD,W
APURD01761,JUSTICE TIMES,JUSTICE TIMES,92216.0,APURD/2006/19659,KHAJA ABDUL HAMEED,AP,HYDERABAD,W
APURD01971,JURRAT TIMES,,125792.0,APURD/2013/53237,MOHAMMED FAYAQ NAWAZ,AP,HYDERABAD,W
APENG03263,EDUCATION TIMES,,114449.0,TELENG/2011/41892,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
APENG02665,THE ECONOMIC TIMES ON SATURDAY,दि इकनोमिक टाइम्स ऑन सैटरडे,101228.0,TELENG/2006/28671,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
APENG02833,TIMES ASCENT,टाइम्स एस्सेन्ट,95713.0,TELENG/2007/23156,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
APURD01908,INSAAF NEWS TIMES,,119127.0,APURD/2012/46570,A.RASHEED KHAN,AP,HYDERABAD,W
APURD01768,ADAM TIMES,ऐडम टाईम्‍स,95728.0,APURD/2007/23171,MOHD. AKBAR,AP,HYDERABAD,W
APTEL12573,NUZIVIDU TIMES,,114917.0,APTEL/2012/42360,MALLIPUDI RAJASEKHAR,AP,HYDERABAD,W
APENG03475,THE ECONOMIC TIMES MAGAZINE,,134813.0,TELENG/2014/62258,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W
APURD01996,KHURSHEED TIMES,,127797.0,APURD/2014/55242,MOHD. KHURSHEED KHAN,AP,HYDERBAD,W
APTEL06986,CUDDAPAH WEEKLY TIMES,,80597.0,APTEL/2002/08040,B.VENKATA SUBBAIAH,AP,KADAPA,W
APTEL13691,PALAMOOR TIMES,,124407.0,APTEL/2013/51852,A. ANJAIAH,AP,KARIMNAGAR,D
APTEL12398,SHATHABDI TIMES,,124776.0,APTEL/2013/52221,BONKURI MADUNAIAH,AP,KARIMNAGAR,W
APTEL12074,PEOPLES TIMES,,118044.0,APTEL/2012/45487,VODYATI PRAVEEN KUMAR,AP,KARIMNAGAR,W
APTEL11265,BHUPATHI TIMES,भूपति टाइम्स,101528.0,APTEL/2009/28971,BHUPATHI RAJU,AP,KHAMMAM,D
APTEL14074,KHAMMAM TIMES,,140335.0,TELTEL/2014/67780,BYRE KARAMCHAND GANDHI,AP,KHAMMAM,Q
APTEL15553,GUDIVADA TIMES,,149281.0,APTEL/2018/76726,BAPATLA LUDIYA,AP,KRISHNA,D
APTEL16216,MYLAVARAM TIMES,,,,MANNE SAMBASIVA RAO,AP,KRISHNA,D
APTEL16206,TIMES POWER,,160157.0,APTEL/2023/87602,BAPATLA KIRAN KUMAR,AP,KRISHNA,D
APTEL15136,TIRUVURU TIMES,,145516.0,APTEL/2016/72961,R.S.V.PRASAD,AP,KRISHNA,DE
APENG00388,FLASH TIMES,,37860.0,37860/ 83,R S MURTHY,AP,KRISHNA/ VIJAYWADA,D
APENG03609,AMARAVATI TIMES,,147788.0,APENG/2017/75233,PRIME BIZ TECH SOLUTIONS PVT.LTD.,AP,KRISHNA/ VIJAYWADA,M
APURD01413,HAROON TIMES,हारुन टाइम्स,133999.0,APURD/2015/61444,OSMAN HAROON,AP,KURNOOL,D
APTEL15658,KANDANAVOLU TIMES,,148808.0,APTEL/2018/76253,CHAKALI RAMANJANEYULU,AP,KURNOOL,D
APTEL16310,RAHMATABAD TIMES,,,,S. NAZEER AHMED BASHA,AP,KURNOOL,D
APENG03078,SEEMA TIMES,,107871.0,APENG/2010/35314,G. VIJAYA LAKSHMI,AP,KURNOOL,D
APTEL15993,DREAM TIMES,,154386.0,APTEL/2021/81831,KALUBURIGI SOWMYA,AP,KURNOOL,D
APTEL16418,MOURYA TIMES,,,,MADRI LAKSHMANNA,AP,KURNOOL,D
APTEL10085,RAYALASEEMA TIMES,रायलसीमा टाइम्स,93328.0,APTEL/2007/20771,G.A. SATTAR,AP,KURNOOL,D
APTEL16439,BHAHUJANA TIMES,,,,BHAHUJANA NEWS PVT LTD,AP,KURNOOL,D
APTEL11979,BHARAT TIMES,,114630.0,APTEL/2011/42073,A. SALOMI,AP,KURNOOL,F
APTEL14059,THE PEER TIMES,,129682.0,APTEL/2014/57127,SYED MOHD. PEER,AP,KURNOOL,M
APBIL01948,SAMEENA TIMES,समीना टाइम्स,138159.0,UR,SAMEENA BEGUM,AP,KURNOOL,M
APTEL13074,HARISHINI TIMES,,120644.0,APTEL/2013/48088,G.V. LAKSHMAMMA,AP,KURNOOL,M
APTEL15767,VISWA TIMES,,158178.0,APTEL/2023/85623,ANURUP CHARITABLE TRUST,AP,KURNOOL,M
APTEL15854,GIRIJANA NAIK TIMES,,158804.0,APTEL/2023/86249,K.LALU NAIK,AP,KURNOOL,M
APTEL15828,MAHARSI TIMES,,154418.0,APTEL/2022/81863,T MADDULETI,AP,KURNOOL,M
APURD01802,KURNOOL TIMES,,25321.0,25321/ 74,C. NAZEER AHMED,AP,KURNOOL,W
APTEL09714,RAYALASEEMA TIMES,RAYALASEEMA TIMES,91753.0,APTEL/2007/19196,G.A. SATTAR,AP,KURNOOL,W
APTEL10232,MAHABUBNAGAR TIMES,महबूबनगर टाइम्स,101729.0,APTEL/2009/29172,M. YADAGIRI,AP,MAHABUBNAGAR,D
APTEL12946,RACHANA TIMES,,122775.0,APTEL/2013/50220,MODALA CHNDRA SHEKAR,AP,MAHBUBNAGAR,M
APTEL13694,CITY TIMES,,124616.0,APTEL/2013/52061,B PRAMOD KUMAR,AP,MANCHERIAL,D
APTEL12903,THE SIDDIPET TIMES,,124580.0,APTEL/2012/52025,L.RAVI CHANDRA,AP,MEDAK,D
APTEL11586,UDAYAM TIMES,उदयम टाइम्स,104616.0,APTEL/2010/32059,K. SHOBHA RANI,AP,NALGONDA,D
APTEL08055,BHUPATHI TIMES,,82880.0,APTEL/2003/10323,BHUPATHI RAJU,AP,NALGONDA,D
APTEL11947,DESHA TIMES,देशा टाइम्स,107114.0,TELTEL/2010/34557,SAYED PASHA,AP,NALGONDA,D
APTEL13813,MALLIK TIMES,,127099.0,APTEL/2014/54544,VALIGONDA MALLAIAH,AP,NALGONDA,M
APTEL13135,DESHA TIMES,,118657.0,TELTEL/2011/46100,SAYED PASHA,AP,NALGONDA,M
APTEL14971,SIMHAPURI TIMES,,138962.0,APTEL/2015/66407,BASINI MANJULA,AP,NELLORE,D
APTEL11444,COFFEE TIMES,कॉफ़ी टाइम्स,104180.0,APTEL/2010/31623,MVS RAVINDRA KUMAR,AP,NELLORE,M
APTEL13447,SIMHAPURI TIMES,सिम्हापुरी टाइम्स,132236.0,UR,BASINI MANJULA,AP,NELLORE,M
APTEL06037,NELLORE TIMES,,25358.0,25358/ 74,P. RUKMINAMMA,AP,NELLORE,W
APTEL16235,VENKATAGIRI TIMES,,157823.0,APTEL/2023/85268,RAYAPATI SAI KRISHNA,AP,NELLORE,W
APURD01942,MOMIN TIMES,,128184.0,APURD/2014/55629,MOHD AWAIS KHAN,AP,NIZAMABAD,D
APTEL15737,PRAKASAM TIMES,,,,GADDALA RAVI,AP,PRAKASAM,M
APTEL08554,MULNIVASI TIMES,,86773.0,APTEL/2004/14216,BATTU VISVESWARARAO,AP,RAJAHMUNDRY,F
APTEL12041,PRAJA TIMES,प्रजा टाइम्स,107082.0,APTEL/2010/34525,P. RAMULU GOUD,AP,RANGAREDDY,D
APTEL11182,LOCAL TIMES,लोकल टाइम्स,101668.0,APTEL/2009/29111,T. SHANKAR,AP,RANGAREDDY,D
APENG03427,TRAVELLERS TIMES,,123972.0,APENG/2013/51417,BHUVANESHWARI DEVI SAI KAANTH,AP,RANGAREDDY,F
APENG03154,METRO CITY TIMES,,109340.0,APENG/2010/36783,B. PRAMODKUMAR,AP,RANGAREDDY,M
APTEL12958,PANCHAYATHRAJ TIMES,,119405.0,APTEL/2012/46848,P.LAVANYA,AP,RANGAREDDY,M
APENG03433,ROAD SAFETY TIMES,,126238.0,APENG/2013/53683,K. VANALATHA,AP,RANGAREDDY,M
APBIL01767,FREELANCE JOURNALIST TIMES,फ्रीलान्स जर्नलिस्ट टाइम्स,108367.0,APBIL/2010/35810,K. SATEESH KUMAR,AP,RANGAREDDY,M
APBIL01783,HEALTH TIMES,,110750.0,APBIL/2011/38193,P.S. CHALAM NAIDU,AP,RANGAREDDY,M
APBIL01812,ARROW TIMES,,122571.0,TELBIL/2012/50016,I. VENKATESH GOUD,AP,RANGAREDDY,M
APTEL11656,SANATHNAGAR TIMES,,114160.0,APTEL/2012/41603,M. SRINIVAS REDDY,AP,RANGAREDDY,W
APTEL07877,CHIKKOLU TIMES,,82958.0,APTEL/2003/10401,CHEMCHALA LAKSHMI,AP,SRIKAKULAM,D
APTEL14424,THE MONDAY TIMES,,135290.0,APTEL/2015/62735,PICINI CHANDRA MOHAN,AP,SRIKAKULAM,M
APENG02636,THE FEDERAL TIMES,दी फेडरल टाइम्स,96888.0,APENG/2006/24331,DR. M. KAILASHPATHI,AP,TENALI,D
APENG03561,THE TIMES OF INDIA,दि टाइम्स ऑफ़ इंडिया,137069.0,APENG/2015/64514,"BENNETT, COLEMAN & CO.LTD",AP,VIJAYAWADA,D
APTEL12143,BEZAVADA TIMES,,115191.0,APTEL/2011/42634,MURALA VENUGOPAL,AP,VIJAYAWADA,M
APTEL10919,CITIZEN TIMES,सिटीजन टाइम्स,101425.0,APTEL/2009/28868,M.S.R. PATNAIK,AP,VISAKHAPATNAM,D
APENG03550,THE SUNDAY TIMES OF INDIA,द संडे टाइम्स ऑफ़ इंडिया,135334.0,ENG/2012/62779,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
APTEL10770,KALINGA TIMES,कलिंग टाइम्स,101426.0,APTEL/2009/28869,KRISHNA MOORTHY PRAYAKA RAO,AP,VISAKHAPATNAM,D
APENG03371,VIZAG TIMES OF INDIA,विज़ाग टाइम्स ऑफ़ इंडिया,121780.0,ENG/2012/49225,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
APENG03408,THE TIMES OF INDIA,द टाइम्स ऑफ़ इंडिया,120864.0,ENG/2012/48308,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,D
APTEL16505,COSTA TIMES,,,,KALLA SUBBA RAO,AP,VISAKHAPATNAM,D
APTEL11408,COSTA TIMES,कोस्टा टाइम्स,106778.0,APTEL/2010/34221,KALLA SUBBA RAO,AP,VISAKHAPATNAM,F
APTEL08952,PRAJAA TIMES TELUGU PAKSHA PATRIKA,प्रजा टाइम्‍स तेलुगू पक्षा पत्रिका,93154.0,APTEL/2005/20597,M. PADMAJA,AP,VISAKHAPATNAM,F
APBIL00424,SALADI TIMES,,45016.0,45016/ 89,KANAKA RAO SALADI,AP,VISAKHAPATNAM,F
APTEL05763,TENDER TIMES,,74556.0,APTEL/1998/01999,APARNA PUBLICATIONS,AP,VISAKHAPATNAM,F
APTEL15464,GAJUWAAKA TIMES,,147799.0,APTEL/2018/75244,BANTHIKOLLA SANTHOSHI DEVI,AP,VISAKHAPATNAM,M
APTEL15428,TEJA TIMES,,146509.0,APTEL/2017/73954,GORLE ESWARA RAO,AP,VISAKHAPATNAM,M
APTEL14127,MEGA TIMES,,130260.0,APTEL/2014/57705,GEDDAM VENKATA JAGANNADHA RAO,AP,VISAKHAPATNAM,M
APTEL14211,VIBHINNA VARTHA PATRIKA TELUGU TIMES,,139029.0,APTEL/2016/66474,KESANAPALLI VENKATA SHANTHI,AP,VISAKHAPATNAM,M
APTEL11998,VALTAIR TIMES,,109636.0,APTEL/2011/37079,G. LAKSHMI,AP,VISAKHAPATNAM,M
APTEL12260,GREATER TIMES,,112053.0,APTEL/2011/39496,YALLA APPA RAO,AP,VISAKHAPATNAM,M
APTEL14103,ANDHRA TIMES FOR THE PEOPLE,,137016.0,APTEL/2015/64461,BALIDE PADMAVATHI,AP,VISAKHAPATNAM,W
APTEL16438,VISAKHA SURYA TIMES,,,,JABADYA NAMALA,AP,VISAKHAPATNAM,W
APENG02059,VIZAG TIMES,वाइज़ग टाइम्स,15790.0,15790/ 68,CHAMARTHI RAMAKRISHNA RAO,AP,VISAKHAPATNAM,W
APENG03409,TIMES ASCENT,,120866.0,APENG/2012/48310,"BENNETT, COLEMAN & CO.LTD",AP,VISAKHAPATNAM,W
APTEL07251,VIZIANAGARAM TIMES,,81652.0,APTEL/2002/09095,E. SURESH KUMAR,AP,VIZIANAGARAM,D
APTEL16519,GURUJADA TIMES,,,,MAJJI SIVA KUMAR,AP,VIZIANAGARAM,D
APTEL14562,UPLAND TIMES,उप लैंड टाइम्स,138437.0,APTEL/2015/65882,BANDARU SRINIVASA RAO,AP,WEST GODAVARI,D
APTEL05974,ELURU TIMES,,32110.0,32110/ 73,MULAKALA DEVENDRA RAO,AP,WEST GODAVARI,D
APTEL14650,DWARAKA TIRUMALA TIMES,द्धारका तिरुमला टाइम्स,137160.0,APTEL/2015/64605,VATTIKUTI V.V.S.SWAMY,AP,WEST GODAVARI,F
APTEL08487,ZILLA TIMES,थ्क्श्र,90957.0,APTEL/2004/18400,NIMMALA VENKATA RAMARAO,AP,WEST GODAVARI,W
APTEL14195,TARANGINI TIMES,,142148.0,APTEL/2015/69593,KETA SATYANARAYANA,AP,WEST GODAVARI,W
APTEL01819,PALACOLE TIMES,,37859.0,37859/ 83,PEDDADA HARA GOPALARAJU,AP,WEST GODAVARI,W
APTEL07423,VASISTA TIMES,,80244.0,APTEL/2002/07687,MANTENA LAKSHMI,AP,WEST GODAVERI/ ELURU,D
APTEL03848,STATE TIMES,,45078.0,45078/ 90,MULAKALA VISWA GINGADHARAN,AP,WEST GODAVERI/ ELURU,D
APTEL05506,TADEPALLIGUDEM TIMES,,68434.0,68434/ 97,KOTA VENKATESWARARAO,AP,WEST GODAVERI/ ELURU,W
APTEL15724,PRODDATUR TIMES,,,,KONETI NARENDRA BABU,AP,YSR/ KADAPA,M
APTEL15830,KADAPA TIMES,,153884.0,APTEL/2021/81329,VADDEYRAJU VIJAY KUMAR,AP,YSR/ KADAPA,M
ARPENG00032,NORTHEAST TIMES,,84466.0,ARPENG/2003/11909,G.L.PUBLICATIONS LTD,ARP,ITANAGAR,D
ARPENG00058,THE ROING TIMES,दि रोइंग टाइम्स,100074.0,ARPENG/2008/27517,SOCIETY FOR UPLIFTMENT OF ROING (SUR),ARP,LOWER DIBANG VALLEY,W
ARPENG00063,THE ITANAGAR TIMES,दि ईटानगर टाइम्स,106346.0,ARPENG/2010/33789,AJOY YADAV,ARP,PAPUM PARE,W
ARPENG00041,THE ARUNACHAL TIMES,दि अरूणाचल टाइम्स,40909.0,40909/ 89,ARUNACHAL TIMES PUBLICATIONS PVT LTD,ARP,PAPUM PARE/ ITANAGAR,D
ARPENG00103,SANMARG TIMES,,,,SANMARG PVT LTD,ARP,PAPUM PARE/ ITANAGAR,D
ASSENG00375,THE VOICE TIMES,,143179.0,ASSENG/2013/70624,ALOK DAS,ASS,CACHAR,D
ASSBEN00315,BARAK TIMES,,63046.0,63046/ 95,RAJU SAHA,ASS,CACHAR,F
ASSBEN00475,THE SILCHAR TIMES,दी सिल्चर टाइम्स,96854.0,ASSBEN/2008/24297,SUNALI NATH,ASS,CACHAR,W
ASSBEN00177,SILCHAR TIMES,,40982.0,40982/ 91,SANAT KUMAR KOIRI,ASS,CACHAR/ SILCHAR,D
ASSBEN00363,CACHAR TIMES,,32769.0,32769/ 77,BIJOY DEBNATH,ASS,CACHAR/ SILCHAR,TWW
ASSENG00096,THE NORTH EAST TIMES,,34014.0,34014/ 90,G.L.PUBLICATIONS LTD,ASS,GAUHATI,D
ASSENG00497,THE HILLS TIMES,,159043.0,ASSENG/2023/86488,RAMESWAR CHAUHAN,ASS,GUWAHATI,D
ASSURD00005,RABTA TIMES,,130867.0,ASSURD/2014/58312,AYAAN PUBLICATION PVT. LTD.,ASS,GUWAHATI,D
