Title Code,Title Name (English),Hindi Title,Register Serial No,Regn. No,Owner Name,State,Publication City/District,Periodicity,title_en_clean,title_hi_clean,periodicity_tag,detected_lang_en,metaphone_code,soundex_code
APTEL14486,SHANTHI TIMES,,135257.0,APTEL/2015/62702,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,D,shanthi times,,U,en,XN0 TMS,S533
APTEL15851,ANANTA TIMES,,153959.0,APTEL/2021/81404,JODU RAMESH KUMAR,AP,ANANTAPUR,D,ananta times,,U,en,ANNT TMS,A553
APTEL16160,AKSHRA TIMES,,,UR,BABAN JAVEED BASHA,AP,ANANTAPUR,D,akshra times,,U,en,AKXR TMS,A263
APTEL15581,KADIRI TIMES,,150631.0,APTEL/2018/78076,SHAIK.SHABBIR SAHEB,AP,ANANTAPUR,D,kadiri times,,U,en,KTR TMS,K363
APTEL15823,BHAGAVAN TIMES,,,,GADDAM SREEDHAR,AP,ANANTAPUR,D,bhagavan times,,U,en,BHKFN TMS,B215
APTEL13506,SHAMBU TIMES,,126782.0,APTEL/2013/54227,ILLURI PARAMESWAR REDDY,AP,ANANTAPUR,F,shambu times,,U,en,XMB TMS,S513
APTEL12574,PENNA TIMES,,119501.0,APTEL/2012/46944,BILLE. AKKULAPPA,AP,ANANTAPUR,M,penna times,,U,en,PN TMS,P535
APTEL15887,VAMSI TIMES,,,,KADAPA MADHUSUDHANA,AP,ANANTAPUR,M,vamsi times,,U,en,FMS TMS,V523
APTEL16462,PAVITRA TIMES,,,,VYKUNTAM PRABHAKAR CHOWDARY,AP,ANANTAPUR,M,pavitra times,,U,en,PFTR TMS,P136
APTEL12035,NANDU TIMES,,117380.0,APTEL/2012/44823,B. SUBRAMANYAM REDDY,AP,ANANTAPUR,M,nandu times,,U,en,NNT TMS,N533
APTEL12410,THE TIMES OF ADITHYA,,114958.0,APTEL/2012/42401,PULIKANTI NAGENDRANATHA REDDY,AP,ANANTAPUR,M,times of adithya,,U,en,TMS OF AT0Y,T521
APTEL15107,KHADRI TIMES,,143230.0,APTEL/2016/70675,PUPPALA ANJANEYLU,AP,ANANTAPUR,M,khadri times,,U,en,KHTR TMS,K363
APTEL14637,NEW MAMATHA TIMES,न्यू ममता टाइम्स,137437.0,APTEL/2015/64882,M BALAVENKATAIAH,AP,ANANTAPUR,M,new mamatha times,नय ममत टइमस,U,en,N MM0 TMS,N553
APTEL14921,TADIPATRI TIMES,,142695.0,APTEL/2016/70140,GORTHI JYOTHI,AP,ANANTAPUR,M,tadipatri times,,U,en,TTPTR TMS,T313
APTEL14259,SHALINI TIMES,शालिनी टाइम्स,133866.0,APTEL/2015/61311,REDDYPALLISIVA SRINIVASA KUMAR,AP,ANANTAPUR,M,shalini times,शलन टइमस,U,en,XLN TMS,S453
APTEL15674,PAMIDI TIMES,,149407.0,APTEL/2018/76852,CHAKALI SIVAPRASAD,AP,ANANTAPUR,M,pamidi times,,U,en,PMT TMS,P533
APTEL14100,HARIKA TIMES,हरिका टाइम्स,139032.0,APTEL/2016/66477,M. RAJASEKHAR REDDY,AP,ANANTAPUR,M,harika times,हरक टइमस,U,en,HRK TMS,H623
APTEL14563,KEERTHI TIMES,कीर्ति टाइम्स,136274.0,APTEL/2015/63719,K. SREENIVASULU,AP,ANANTAPUR,M,keerthi times,करत टइमस,U,en,KR0 TMS,K633
APTEL15448,HAPPY INDIA TIMES,,147939.0,APTEL/2017/75384,HAPPY INDIA TECHNOCORP PVT LTD,AP,ANANTAPUR,W,happy times,,U,en,HP TMS,H135
APBEN00010,PYRAMID TIMES,,69623.0,69623/ 98,DR. G.R. YUGANDHAR,AP,CHITTOOR,BM,pyramid times,,U,en,PRMT TMS,P653
APTEL10796,TIRUPATI HAPPY TIMES,तिरुपति हैप्पी टाइम्स,100340.0,APTEL/2009/27783,N. REDDEPPA NAIDU,AP,CHITTOOR,F,tirupati happy times,तरपत हपप टइमस,U,en,TRPT HP TMS,T613
APTEL10268,ESWAR TIMES,,98822.0,APTEL/2008/26265,L. ESWAR,AP,CHITTOOR,M,eswar times,,U,en,ESWR TMS,E263
APTEL14368,REGISTRATION TIMES,रजिस्ट्रेशन टाइम्स,136230.0,APTEL/2015/63675,N.PURUSHOTHAM,AP,CHITTOOR,M,registration times,रजसटरशन टइमस,U,en,RJSTRXN TMS,R223
APBIL14868,TIMES OF TIRUPATI,,,,K. NETHAJI,AP,CHITTOOR/ TIRUPATI,M,times of tirupati,,U,en,TMS OF TRPT,T521
APENG03116,ENVIRONMENT AND POLLUTION TIMES,,111412.0,APENG/2010/38855,N. PURUSHOTHAM,AP,CHITTOR,M,environment and pollution times,,U,en,ENFRNMNT ANT PLXN TMS,E516
APENG03117,TOURISM TIMES,,111413.0,APENG/2010/38856,N. PURUSHOTHAM,AP,CHITTOR,M,tourism times,,U,en,TRSM TMS,T625
APENG03118,JOURNALIST TIMES,,112925.0,APENG/2010/40368,N. PURUSHOTHAM,AP,CHITTOR,M,journalist times,,U,en,JRNLST TMS,J654
APTEL15545,RAJAMAHENDRAVARAM TIMES,,148643.0,APTEL/2018/76088,KUCHIMANCHI MADHULATHA,AP,EAST GODAVARI,D,rajamahendravaram times,,U,en,RJMHNTRFRM TMS,R255
APTEL16287,SAMAKALEENA ANDHRA TIMES,,160505.0,APTEL/2023/87950,NALLURI POSAGIRIBABU,AP,EAST GODAVARI,D,samakaleena andhra times,,U,en,SMKLN ANTHR TMS,S524
APBIL01702,KAKINADA TIMES,काकीनाडा टाइम्स,106303.0,APBIL/2009/33746,NALLURI SRINIVASA RAO,AP,EAST GODAVARI,D,kakinada times,ककनड टइमस,U,en,KKNT TMS,K253
APTEL13482,GODAVARI TIMES,,129840.0,APTEL/2014/57285,ANANTHA RAO GOTTIMUKKALA,AP,EAST GODAVARI,D,godavari times,,U,en,KTFR TMS,G316
APTEL14662,DIKHSUTCHI TIMES,,136148.0,APTEL/2014/63593,PARVADA ANJANEYULU,AP,EAST GODAVARI,D,dikhsutchi times,,U,en,TKHSX TMS,D232
APTEL15599,COASTA TIMES,,148358.0,APTEL/2018/75803,CHOPPALA DEEPIKA,AP,EAST GODAVARI,DE,coasta times,,U,en,KST TMS,C233
APENG03534,TIMES IN THE CITY,,143460.0,APENG/2016/70905,VALLI BASHA MOHAMMAD,AP,EAST GODAVARI,W,times in city,,U,en,TMS IN ST,T525
APTEL16183,NAMBURI TIMES,,157745.0,APTEL/2023/85190,NAMBURI CHINA SAIDAIAH,AP,GUNTUR,D,namburi times,,U,en,NMBR TMS,N516
APTEL09568,GUNTUR TIMES,गुंटुर टाइम्स,98358.0,APTEL/2008/25801,NELAVALLI SRINIVAS RAO,AP,GUNTUR,D,guntur times,गटर टइमस,U,en,KNTR TMS,G536
APTEL10863,PONNUR TIMES,पोन्नूर टाइम्स,100749.0,APTEL/2009/28192,GOLLAMUDI RAMESH BABAU,AP,GUNTUR,D,ponnur times,पननर टइमस,U,en,PNR TMS,P563
APTEL15316,BAPATLA TIMES,,,UR,EAGAM VISHNU SAI PRASADA RAO,AP,GUNTUR,D,bapatla times,,U,en,BPTL TMS,B134
APTEL14184,NANDI TIMES,,129521.0,APTEL/2013/56966,G.S. SUNDARA SARMA,AP,GUNTUR,D,nandi times,,U,en,NNT TMS,N533
APBIL01928,SUJANA TIMES,,139004.0,APBIL/2015/66449,KATTA. SRINIVASULU,AP,GUNTUR,D,sujana times,,U,en,SJN TMS,S253
APTEL11255,SWARNAPURI TIMES,स्वर्णपुरी टाइम्स,105430.0,APTEL/2010/32873,SUNDAR SINGH BODDU,AP,GUNTUR,D,swarnapuri times,सवरणपर टइमस,U,en,SWRNPR TMS,S651
APBIL01781,COMMERCE TIMES,,117248.0,APBIL/2012/44691,SRI KRISHNA NALAM,AP,GUNTUR,F,commerce times,,U,en,KMRS TMS,C562
APTEL03436,LAW TIMES,लॉ टाइम्स,3262.0,3262/ 57,GARIKIPATY VEERAIAH,AP,GUNTUR,F,law times,ल टइमस,U,en,L TMS,L352
APTEL14495,WEAVERS TIMES,,137794.0,APTEL/2015/65239,P.ARJUN,AP,GUNTUR,F,weavers times,,U,en,WFRS TMS,W162
APTEL08135,THE TENALI TIMES,,83572.0,APTEL/2003/11015,LUKKA VENKATESWARA RAO,AP,GUNTUR,W,tenali times,,U,en,TNL TMS,T543
APENG03264,VIJAYAWADA TIMES,,126979.0,APENG/2013/54424,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D,vijayawada times,,U,en,FJYWT TMS,V233
APENG03372,GREEN TIMES,,119371.0,APENG/2012/46814,MOHAMMED MEHDI ALI,AP,HYDERABAD,D,green times,,U,en,KRN TMS,G653
APENG03399,ARYAVART TIMES,,123973.0,APENG/2013/51418,RACHARLA ARJUN KUMAR,AP,HYDERABAD,D,aryavart times,,U,en,ARYFRT TMS,A616
APENG02277,THE TIMES OF INDIA,द टाइम्स ऑफ इण्डिया,75685.0,TELENG/2000/03128,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,D,times of,द टइमस ऑफ इणडय,U,en,TMS OF,T521
APTEL09706,TIMES OF VAARTHA,टाईम्‍स आफ वार्ता,95385.0,UR,G. JANARDHAN REDDHY,AP,HYDERABAD,D,times of vaartha,टईमस आफ वरत,U,en,TMS OF FR0,T521
APURD01795,RIYAZ TIMES,,99307.0,APURD/2008/26750,MOHD. RIYAZ ALI,AP,HYDERABAD,D,riyaz times,,U,en,RYS TMS,R235
APHIN00329,DESH BHAKT TIMES,,120498.0,APHIN/2013/47942,K. SATYANARAYANA,AP,HYDERABAD,D,desh bhakt times,,U,en,TX BHKT TMS,D212
APTEL11039,STATE TIMES,स्टेट टाइम्स,100243.0,APTEL/2008/27686,MULAKALA VISWA GINGA,AP,HYDERABAD,D,state times,सटट टइमस,U,en,STT TMS,S333
APURD01843,CHARMINAR TIMES,,109819.0,APURD/2010/37262,MD. SHUJA UDDIN IFTEQARI,AP,HYDERABAD,D,charminar times,,U,en,XRMNR TMS,C655
APTEL10319,BHUPATHI TIMES,भूपति टाईम्स,95217.0,APTEL/2007/22660,BHUPATHI RAJU,AP,HYDERABAD,D,bhupathi times,भपत टईमस,U,en,BHP0 TMS,B133
APENG02971,PRAGATHI TIMES,प्रगति टाईम्स,97654.0,TELENG/2008/25097,AFROZ QURESHI,AP,HYDERABAD,D,pragathi times,परगत टईमस,U,en,PRK0 TMS,P623
APURD01882,NASER TIMES,,112595.0,APURD/2011/40038,JAHANGIR SULTANA,AP,HYDERABAD,D,naser times,,U,en,NSR TMS,N263
APURD01953,ADAM TIMES,,120744.0,APURD/2012/48188,MOHD. AKBAR,AP,HYDERABAD,D,adam times,,U,en,ATM TMS,A353
APENG03347,RIDA TIMES,,116800.0,UR,MOHAMMED KHAIRATH ALI,AP,HYDERABAD,D,rida times,,U,en,RT TMS,R335
APENG03431,SHALIMAR TIMES,,123919.0,APENG/2013/51364,SYED MUMTAZ MOHAMMED,AP,HYDERABAD,D,shalimar times,,U,en,XLMR TMS,S456
APENG03374,SANSANI TIMES,,119401.0,APENG/2012/46844,MOHD NAJMUDDIN,AP,HYDERABAD,D,sansani times,,U,en,SNSN TMS,S525
APTEL11441,LOK SATTA TIMES,लोक सत्ता टाइम्स,104776.0,APTEL/2010/32219,FOUNDATION FOR DEMOCRATIC REFORMS,AP,HYDERABAD,F,lok satta times,लक सतत टइमस,U,en,LK ST TMS,L223
APURD01814,MEHAR TIMES,मेहर टाइम्स,104031.0,APURD/2009/31474,MOHD. AFFAN QUADRI,AP,HYDERABAD,M,mehar times,महर टइमस,U,en,MHR TMS,M635
APTEL13194,SRIVEN TIMES,,121269.0,APTEL/2013/48714,DEVULAPALLI PADMAJA,AP,HYDERABAD,M,sriven times,,U,en,SRFN TMS,S615
APBIL01811,YERUKALA TIMES,,124398.0,APBIL/2013/51843,V. PRABHAKAR,AP,HYDERABAD,M,yerukala times,,U,en,YRKL TMS,Y624
APENG02588,PARAMEDICAL & NURSING TIMES,,86955.0,APENG/2004/14398,DR.MOHD SAMLULLAH KHAN,AP,HYDERABAD,M,paramedical nursing times,,U,en,PRMTKL NRSNK TMS,P653
APENG02796,TARNAKA TIMES,तरनका टाईम्स,99026.0,APENG/2007/26469,DR. RAO V.B.J. CHELIKANI,AP,HYDERABAD,M,tarnaka times,तरनक टईमस,U,en,TRNK TMS,T652
APMUL00356,DRAVIDIAN TIMES,,99125.0,APMUL/2008/26568,C.H. DAYANAND RAO,AP,HYDERABAD,M,dravidian times,,U,en,TRFTN TMS,D613
APBIL01704,TRANSPORT TIMES,,111414.0,APBIL/2009/38857,N. PURUSHOTHAM GOUD,AP,HYDERABAD,M,transport times,,U,en,TRNSPRT TMS,T652
APENG01937,ANDHRA LAW TIMES (LEGISLATIVE SUPPLEMENT),,69920.0,69920/ 99,L.D.GOGIA,AP,HYDERABAD,M,andhra law times legislative supplement,,U,en,ANTHR L TMS LJSLTF SPLMNT,A536
APENG02887,TIMES OF DISASTER MANAGEMENT,टाइम्स ऑफ़ डिजास्टर मैनेजमेंट,101145.0,APENG/2009/28588,S. ANANDA BABU,AP,HYDERABAD,Q,times of disaster management,टइमस ऑफ़ डजसटर मनजमट,U,en,TMS OF TSSTR MNJMNT,T521
APENG03222,ETERNAL LIFE TIMES,,110616.0,APENG/2011/38059,K. NEWTON,AP,HYDERABAD,Q,eternal life times,,U,en,ETRNL LF TMS,E365
APENG02838,PRAGATHI TIMES,प्रगति‍ टाईम्‍स,94364.0,TELENG/2007/21807,AFROZ QURESHI,AP,HYDERABAD,W,pragathi times,परगत टईमस,U,en,PRK0 TMS,P623
APENG03501,ADEEB TIMES,,128931.0,TELENG/2014/56376,MOHAMMED ATHER,AP,HYDERABAD,W,adeeb times,,U,en,ATB TMS,A313
APENG03477,THE ECONOMIC TIMES WEALTH,,129996.0,TELENG/2014/57441,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W,economic times wealth,,U,en,EKNMK TMS WL0,E255
APENG02819,INDIA GULF TIMES,इण्‍डि‍या गल्‍फ टाईम्‍स,98699.0,APENG/2008/26142,ZEENATH SAJIDA,AP,HYDERABAD,W,gulf times,इणडय गलफ टईमस,U,en,KLF TMS,G413
APURD01910,SHADAN TIMES,,117929.0,APURD/2012/45372,MOHAMMED KALEEM MOHIUDDIN,AP,HYDERABAD,W,shadan times,,U,en,XTN TMS,S353
APURD01761,JUSTICE TIMES,JUSTICE TIMES,92216.0,APURD/2006/19659,KHAJA ABDUL HAMEED,AP,HYDERABAD,W,justice times,justice times,U,en,JSTS TMS,J232
APURD01971,JURRAT TIMES,,125792.0,APURD/2013/53237,MOHAMMED FAYAQ NAWAZ,AP,HYDERABAD,W,jurrat times,,U,en,JRT TMS,J633
APENG03263,EDUCATION TIMES,,114449.0,TELENG/2011/41892,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W,education times,,U,en,ETKXN TMS,E323
APENG02665,THE ECONOMIC TIMES ON SATURDAY,दि इकनोमिक टाइम्स ऑन सैटरडे,101228.0,TELENG/2006/28671,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W,economic times on saturday,द इकनमक टइमस ऑन सटरड,U,en,EKNMK TMS ON STRT,E255
APENG02833,TIMES ASCENT,टाइम्स एस्सेन्ट,95713.0,TELENG/2007/23156,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W,times ascent,टइमस एससनट,U,en,TMS ASSNT,T522
APURD01908,INSAAF NEWS TIMES,,119127.0,APURD/2012/46570,A.RASHEED KHAN,AP,HYDERABAD,W,insaaf times,,U,en,INSF TMS,I521
APURD01768,ADAM TIMES,ऐडम टाईम्‍स,95728.0,APURD/2007/23171,MOHD. AKBAR,AP,HYDERABAD,W,adam times,ऐडम टईमस,U,en,ATM TMS,A353
APTEL12573,NUZIVIDU TIMES,,114917.0,APTEL/2012/42360,MALLIPUDI RAJASEKHAR,AP,HYDERABAD,W,nuzividu times,,U,en,NSFT TMS,N213
APENG03475,THE ECONOMIC TIMES MAGAZINE,,134813.0,TELENG/2014/62258,"BENNETT, COLEMAN & CO.LTD",AP,HYDERABAD,W,economic times magazine,,U,en,EKNMK TMS MKSN,E255
APURD01996,KHURSHEED TIMES,,127797.0,APURD/2014/55242,MOHD. KHURSHEED KHAN,AP,HYDERBAD,W,khursheed times,,U,en,KHRXT TMS,K623
APTEL06986,CUDDAPAH WEEKLY TIMES,,80597.0,APTEL/2002/08040,B.VENKATA SUBBAIAH,AP,KADAPA,W,cuddapah weekly times,,U,en,KTP WKL TMS,C312
APTEL13691,PALAMOOR TIMES,,124407.0,APTEL/2013/51852,A. ANJAIAH,AP,KARIMNAGAR,D,palamoor times,,U,en,PLMR TMS,P456
APTEL12398,SHATHABDI TIMES,,124776.0,APTEL/2013/52221,BONKURI MADUNAIAH,AP,KARIMNAGAR,W,shathabdi times,,U,en,X0BT TMS,S313
APTEL12074,PEOPLES TIMES,,118044.0,APTEL/2012/45487,VODYATI PRAVEEN KUMAR,AP,KARIMNAGAR,W,peoples times,,U,en,PPLS TMS,P142
APTEL11265,BHUPATHI TIMES,भूपति टाइम्स,101528.0,APTEL/2009/28971,BHUPATHI RAJU,AP,KHAMMAM,D,bhupathi times,भपत टइमस,U,en,BHP0 TMS,B133
APTEL14074,KHAMMAM TIMES,,140335.0,TELTEL/2014/67780,BYRE KARAMCHAND GANDHI,AP,KHAMMAM,Q,khammam times,,U,en,KHMM TMS,K553
APTEL15553,GUDIVADA TIMES,,149281.0,APTEL/2018/76726,BAPATLA LUDIYA,AP,KRISHNA,D,gudivada times,,U,en,KTFT TMS,G313
APTEL16216,MYLAVARAM TIMES,,,,MANNE SAMBASIVA RAO,AP,KRISHNA,D,mylavaram times,,U,en,MLFRM TMS,M416
APTEL16206,TIMES POWER,,160157.0,APTEL/2023/87602,BAPATLA KIRAN KUMAR,AP,KRISHNA,D,times power,,U,en,TMS PWR,T521
APTEL15136,TIRUVURU TIMES,,145516.0,APTEL/2016/72961,R.S.V.PRASAD,AP,KRISHNA,DE,tiruvuru times,,U,en,TRFR TMS,T616
APENG00388,FLASH TIMES,,37860.0,37860/ 83,R S MURTHY,AP,KRISHNA/ VIJAYWADA,D,flash times,,U,en,FLX TMS,F423
APENG03609,AMARAVATI TIMES,,147788.0,APENG/2017/75233,PRIME BIZ TECH SOLUTIONS PVT.LTD.,AP,KRISHNA/ VIJAYWADA,M,amaravati times,,U,en,AMRFT TMS,A561
APURD01413,HAROON TIMES,हारुन टाइम्स,133999.0,APURD/2015/61444,OSMAN HAROON,AP,KURNOOL,D,haroon times,हरन टइमस,U,en,HRN TMS,H653
APTEL15658,KANDANAVOLU TIMES,,148808.0,APTEL/2018/76253,CHAKALI RAMANJANEYULU,AP,KURNOOL,D,kandanavolu times,,U,en,KNTNFL TMS,K535
APTEL16310,RAHMATABAD TIMES,,,,S. NAZEER AHMED BASHA,AP,KURNOOL,D,rahmatabad times,,U,en,RMTBT TMS,R531
APENG03078,SEEMA TIMES,,107871.0,APENG/2010/35314,G. VIJAYA LAKSHMI,AP,KURNOOL,D,seema times,,U,en,SM TMS,S535
APTEL15993,DREAM TIMES,,154386.0,APTEL/2021/81831,KALUBURIGI SOWMYA,AP,KURNOOL,D,dream times,,U,en,TRM TMS,D653
APTEL16418,MOURYA TIMES,,,,MADRI LAKSHMANNA,AP,KURNOOL,D,mourya times,,U,en,MRY TMS,M635
APTEL10085,RAYALASEEMA TIMES,रायलसीमा टाइम्स,93328.0,APTEL/2007/20771,G.A. SATTAR,AP,KURNOOL,D,rayalaseema times,रयलसम टइमस,U,en,RYLSM TMS,R425
APTEL16439,BHAHUJANA TIMES,,,,BHAHUJANA NEWS PVT LTD,AP,KURNOOL,D,bhahujana times,,U,en,BHHJN TMS,B253
APTEL11979,BHARAT TIMES,,114630.0,APTEL/2011/42073,A. SALOMI,AP,KURNOOL,F,bharat times,,U,en,BHRT TMS,B633
APTEL14059,THE PEER TIMES,,129682.0,APTEL/2014/57127,SYED MOHD. PEER,AP,KURNOOL,M,peer times,,U,en,PR TMS,P635
APBIL01948,SAMEENA TIMES,समीना टाइम्स,138159.0,UR,SAMEENA BEGUM,AP,KURNOOL,M,sameena times,समन टइमस,U,en,SMN TMS,S553
APTEL13074,HARISHINI TIMES,,120644.0,APTEL/2013/48088,G.V. LAKSHMAMMA,AP,KURNOOL,M,harishini times,,U,en,HRXN TMS,H625
APTEL15767,VISWA TIMES,,158178.0,APTEL/2023/85623,ANURUP CHARITABLE TRUST,AP,KURNOOL,M,viswa times,,U,en,FSW TMS,V235
APTEL15854,GIRIJANA NAIK TIMES,,158804.0,APTEL/2023/86249,K.LALU NAIK,AP,KURNOOL,M,girijana naik times,,U,en,JRJN NK TMS,G625
APTEL15828,MAHARSI TIMES,,154418.0,APTEL/2022/81863,T MADDULETI,AP,KURNOOL,M,maharsi times,,U,en,MHRS TMS,M623
APURD01802,KURNOOL TIMES,,25321.0,25321/ 74,C. NAZEER AHMED,AP,KURNOOL,W,kurnool times,,U,en,KRNL TMS,K654
APTEL09714,RAYALASEEMA TIMES,RAYALASEEMA TIMES,91753.0,APTEL/2007/19196,G.A. SATTAR,AP,KURNOOL,W,rayalaseema times,rayalaseema times,U,en,RYLSM TMS,R425
APTEL10232,MAHABUBNAGAR TIMES,महबूबनगर टाइम्स,101729.0,APTEL/2009/29172,M. YADAGIRI,AP,MAHABUBNAGAR,D,mahabubnagar times,महबबनगर टइमस,U,en,MHBBNKR TMS,M115
APTEL12946,RACHANA TIMES,,122775.0,APTEL/2013/50220,MODALA CHNDRA SHEKAR,AP,MAHBUBNAGAR,M,rachana times,,U,en,RXN TMS,R253
APTEL13694,CITY TIMES,,124616.0,APTEL/2013/52061,B PRAMOD KUMAR,AP,MANCHERIAL,D,city times,,U,en,ST TMS,C335
APTEL12903,THE SIDDIPET TIMES,,124580.0,APTEL/2012/52025,L.RAVI CHANDRA,AP,MEDAK,D,siddipet times,,U,en,STPT TMS,S313
APTEL11586,UDAYAM TIMES,उदयम टाइम्स,104616.0,APTEL/2010/32059,K. SHOBHA RANI,AP,NALGONDA,D,udayam times,उदयम टइमस,U,en,UTYM TMS,U353
APTEL08055,BHUPATHI TIMES,,82880.0,APTEL/2003/10323,BHUPATHI RAJU,AP,NALGONDA,D,bhupathi times,,U,en,BHP0 TMS,B133
APTEL11947,DESHA TIMES,देशा टाइम्स,107114.0,TELTEL/2010/34557,SAYED PASHA,AP,NALGONDA,D,desha times,दश टइमस,U,en,TX TMS,D235
APTEL13813,MALLIK TIMES,,127099.0,APTEL/2014/54544,VALIGONDA MALLAIAH,AP,NALGONDA,M,mallik times,,U,en,MLK TMS,M423
APTEL13135,DESHA TIMES,,118657.0,TELTEL/2011/46100,SAYED PASHA,AP,NALGONDA,M,desha times,,U,en,TX TMS,D235
APTEL14971,SIMHAPURI TIMES,,138962.0,APTEL/2015/66407,BASINI MANJULA,AP,NELLORE,D,simhapuri times,,U,en,SMHPR TMS,S516
APTEL11444,COFFEE TIMES,कॉफ़ी टाइम्स,104180.0,APTEL/2010/31623,MVS RAVINDRA KUMAR,AP,NELLORE,M,coffee times,कफ़ टइमस,U,en,KF TMS,C135
APTEL13447,SIMHAPURI TIMES,सिम्हापुरी टाइम्स,132236.0,UR,BASINI MANJULA,AP,NELLORE,M,simhapuri times,समहपर टइमस,U,en,SMHPR TMS,S516
APTEL06037,NELLORE TIMES,,25358.0,25358/ 74,P. RUKMINAMMA,AP,NELLORE,W,nellore times,,U,en,NLR TMS,N463
APTEL16235,VENKATAGIRI TIMES,,157823.0,APTEL/2023/85268,RAYAPATI SAI KRISHNA,AP,NELLORE,W,venkatagiri times,,U,en,FNKTJR TMS,V523
APURD01942,MOMIN TIMES,,128184.0,APURD/2014/55629,MOHD AWAIS KHAN,AP,NIZAMABAD,D,momin times,,U,en,MMN TMS,M553
APTEL15737,PRAKASAM TIMES,,,,GADDALA RAVI,AP,PRAKASAM,M,prakasam times,,U,en,PRKSM TMS,P622
APTEL08554,MULNIVASI TIMES,,86773.0,APTEL/2004/14216,BATTU VISVESWARARAO,AP,RAJAHMUNDRY,F,mulnivasi times,,U,en,MLNFS TMS,M451
APTEL12041,PRAJA TIMES,प्रजा टाइम्स,107082.0,APTEL/2010/34525,P. RAMULU GOUD,AP,RANGAREDDY,D,praja times,परज टइमस,U,en,PRJ TMS,P623
APTEL11182,LOCAL TIMES,लोकल टाइम्स,101668.0,APTEL/2009/29111,T. SHANKAR,AP,RANGAREDDY,D,local times,लकल टइमस,U,en,LKL TMS,L243
APENG03427,TRAVELLERS TIMES,,123972.0,APENG/2013/51417,BHUVANESHWARI DEVI SAI KAANTH,AP,RANGAREDDY,F,travellers times,,U,en,TRFLRS TMS,T614
APENG03154,METRO CITY TIMES,,109340.0,APENG/2010/36783,B. PRAMODKUMAR,AP,RANGAREDDY,M,metro city times,,U,en,MTR ST TMS,M362
APTEL12958,PANCHAYATHRAJ TIMES,,119405.0,APTEL/2012/46848,P.LAVANYA,AP,RANGAREDDY,M,panchayathraj times,,U,en,PNXY0RJ TMS,P523
APENG03433,ROAD SAFETY TIMES,,126238.0,APENG/2013/53683,K. VANALATHA,AP,RANGAREDDY,M,road safety times,,U,en,RT SFT TMS,R321
APBIL01767,FREELANCE JOURNALIST TIMES,फ्रीलान्स जर्नलिस्ट टाइम्स,108367.0,APBIL/2010/35810,K. SATEESH KUMAR,AP,RANGAREDDY,M,freelance journalist times,फरलनस जरनलसट टइमस,U,en,FRLNS JRNLST TMS,F645
